,date_time,street_name,lat,lng
75,2017-01-04 08:04:00,7300 PARADISE VALLEY ROAD,32.688251,-117.048828
76,2017-01-04 08:07:00,1700 GARNET AVENUE,32.801827,-117.2316
77,2017-01-04 08:09:00,1300 MORENA BOULEVARD,32.821923999999996,-117.226652
78,2017-01-04 09:00:00,3900 30TH STREET,32.757576,-117.130174
79,2017-01-04 09:02:00,3900 05TH AVENUE,39.78373,-100.445882
80,2017-01-04 10:30:00,500 GRAPE STREET,32.800453000000005,-116.931519
81,2017-01-04 10:50:00,0 70TH STREET,32.773457,-117.046501
82,2017-01-04 13:20:00,3400 COLLEGE AVENUE,32.785197,-117.06251100000001
83,2017-01-04 14:14:00,7100 FULTON STREET,32.79,-117.167625
84,2017-01-04 15:30:00,1400 CAM DE LA REINA  ,39.78373,-100.445882
85,2017-01-04 15:30:00,11500 RANCHO BERNARDO ROAD,33.02191,-117.11792
86,2017-01-04 15:45:00,12000 WORLD TRADE DRIVE,32.987957,-117.071877
87,2017-01-04 16:20:00,4700 ROLANDO BOULEVARD,32.757168,-117.057152
88,2017-01-04 17:10:00,3500 RUFFIN ROAD,32.830869,-117.12676100000002
89,2017-01-04 17:15:00,1300 MISSOURI STREET,32.802296000000005,-117.24751299999998
90,2017-01-04 17:20:00,500 PALOMAR AVENUE,32.826908,-117.27642800000001
91,2017-01-04 17:30:00,2500 TORREY PINES ROAD,32.851512,-117.249655
92,2017-01-04 17:31:00,10700 VISTA SORRENTO PARKWAY,32.908232,-117.224764
93,2017-01-04 18:28:00,0  I-15 NB  ,39.78373,-100.445882
94,2017-01-04 20:00:00,6700 EL CAJON BOULEVARD,32.755155,-117.14633700000002
95,2017-01-04 20:53:00,0 CHAMOUNE AVENUE,32.755559000000005,-117.09691399999998
96,2017-01-04 20:54:00,4800 CASTLE AVENUE,32.745419,-117.09188799999998
97,2017-01-04 20:57:00,3100 MISSION VILLAGE DRIVE,32.786514000000004,-117.120171
98,2017-01-04 20:58:00,0 WIGHTMAN STREET,32.746803,-117.090652
99,2017-01-04 22:07:00,2100 ALTA VIEW DRIVE,32.678608000000004,-117.034866
100,2017-01-05 00:01:00,2900 LLOYD STREET,32.796477,-117.20648999999999
101,2017-01-05 03:11:00,3500 INDIA STREET,32.741543,-117.17971000000001
102,2017-01-05 07:30:00,6900 PARADISE VALLEY ROAD,32.692865000000005,-117.04625
103,2017-01-05 07:50:00,2800 MAIN STREET,32.695595000000004,-117.14164699999999
104,2017-01-05 08:30:00,3800 SORRENTO VALLEY BOULEVARD,32.901821000000005,-117.22233899999999
105,2017-01-05 08:48:00,7400 MIRAMAR  ,32.893658,-117.118366
106,2017-01-05 09:00:00,14100 CUCA STREET,32.972431,-117.09677099999999
107,2017-01-05 09:38:00,100 ASH STREET,32.719898,-117.160195
108,2017-01-05 09:55:00,500 32ND STREET,32.712765000000005,-117.12528200000001
109,2017-01-05 10:43:00,9900 AVIARY DRIVE,32.904564,-117.09908300000001
110,2017-01-05 10:46:00,4800 CLAIREMONT DRIVE,32.828402000000004,-117.206075
111,2017-01-05 11:00:00,9800 MIRA MESA BOULEVARD,32.89275,-117.20145900000001
112,2017-01-05 11:00:00,3900 09TH AVENUE,39.78373,-100.445882
113,2017-01-05 11:20:00,11500 CARMEL MTN ROAD,32.916585999999995,-117.236696
114,2017-01-05 11:27:00,5700 CARMEL VALLEY ROAD,32.93201,-117.241956
115,2017-01-05 12:30:00,2000 CAM DEL RIO  ,39.78373,-100.445882
116,2017-01-05 12:55:00,2300 EBERS STREET,32.739437,-117.249496
117,2017-01-05 13:25:00,8400 KEARNY VILLA ROAD,32.856764,-117.118385
118,2017-01-05 14:19:00,1200 UNIVERSITY AVENUE,32.748466,-117.155378
119,2017-01-05 15:00:00,7800 OTHELLO AVENUE,32.817143,-117.154723
120,2017-01-05 15:35:00,4300 53RD STREET,32.707684,-117.080731
121,2017-01-05 15:40:00,4200 BACHMAN PLACE,32.756873,-117.164556
122,2017-01-05 18:49:00,2500 IMPERIAL AVENUE,32.706352,-117.138117
123,2017-01-05 18:57:00,3400 BALBOA AVENUE,32.807522999999996,-117.212574
124,2017-01-05 19:07:00,2800 TREAT STREET,32.714335999999996,-117.13438799999999
125,2017-01-05 19:59:00,1900 BACON STREET,32.751408000000005,-117.247147
126,2017-01-05 20:30:00,12300 CREEKVIEW DRIVE,32.945102,-117.09059599999999
127,2017-01-05 20:52:00,100 PRIMERA  ,32.550426,-117.04405200000001
128,2017-01-05 22:28:00,1300 SEAWORLD  ,39.78373,-100.445882
129,2017-01-06 00:01:00,3300 CLAIREMONT MESA BOULEVARD,32.827768,-117.206741
130,2017-01-06 00:01:00,2800 CADIZ STREET,32.744071000000005,-117.210338
131,2017-01-06 00:01:00,11900 EL CAMINO REAL  ,33.178824,-117.32663799999999
132,2017-01-06 01:46:00,600 36TH STREET,32.706107,-117.11681899999999
133,2017-01-06 02:00:00,0 MISSION VILLAGE DRIVE,32.786514000000004,-117.120171
134,2017-01-06 07:00:00,6100 MIRA MESA BOULEVARD,32.89275,-117.20145900000001
135,2017-01-06 07:00:00,6400 LA JOLLA BOULEVARD,32.834496,-117.277473
136,2017-01-06 09:30:00,400 KALMIA STREET,32.72995,-117.08081100000001
