,date_time,street_name
108,2017-01-05 09:55:00,500 32ND STREET
109,2017-01-05 10:43:00,9900 AVIARY DRIVE
110,2017-01-05 10:46:00,4800 CLAIREMONT DRIVE
111,2017-01-05 11:00:00,9800 MIRA MESA BOULEVARD
112,2017-01-05 11:00:00,3900 09TH AVENUE
113,2017-01-05 11:20:00,11500 CARMEL MTN ROAD
114,2017-01-05 11:27:00,5700 CARMEL VALLEY ROAD
115,2017-01-05 12:30:00,2000 CAM DEL RIO  
116,2017-01-05 12:55:00,2300 EBERS STREET
117,2017-01-05 13:25:00,8400 KEARNY VILLA ROAD
118,2017-01-05 14:19:00,1200 UNIVERSITY AVENUE
119,2017-01-05 15:00:00,7800 OTHELLO AVENUE
120,2017-01-05 15:35:00,4300 53RD STREET
121,2017-01-05 15:40:00,4200 BACHMAN PLACE
122,2017-01-05 18:49:00,2500 IMPERIAL AVENUE
123,2017-01-05 18:57:00,3400 BALBOA AVENUE
124,2017-01-05 19:07:00,2800 TREAT STREET
125,2017-01-05 19:59:00,1900 BACON STREET
126,2017-01-05 20:30:00,12300 CREEKVIEW DRIVE
127,2017-01-05 20:52:00,100 PRIMERA  
128,2017-01-05 22:28:00,1300 SEAWORLD  
129,2017-01-06 00:01:00,3300 CLAIREMONT MESA BOULEVARD
130,2017-01-06 00:01:00,2800 CADIZ STREET
131,2017-01-06 00:01:00,11900 EL CAMINO REAL  
132,2017-01-06 01:46:00,600 36TH STREET
133,2017-01-06 02:00:00,0 MISSION VILLAGE DRIVE
134,2017-01-06 07:00:00,6100 MIRA MESA BOULEVARD
135,2017-01-06 07:00:00,6400 LA JOLLA BOULEVARD
136,2017-01-06 09:30:00,400 KALMIA STREET
137,2017-01-06 11:20:00,100 WASHINGTON STREET
138,2017-01-06 11:30:00,3800 MISSION BOULEVARD
139,2017-01-06 12:00:00,3900 CLEVELAND AVENUE
140,2017-01-06 12:00:00,11200 CAM RUIZ  
141,2017-01-06 12:50:00,2700 TORREY PINES ROAD
142,2017-01-06 13:20:00,8900 CAM SANTA FE  
143,2017-01-06 13:45:00,2100 54TH STREET
144,2017-01-06 13:53:00,12600 TORREY PINES ROAD
145,2017-01-06 14:00:00,8500 MISSION GORGE ROAD
146,2017-01-06 14:50:00,4500 COLLWOOD BOULEVARD
147,2017-01-06 15:00:00,2200 HOTEL CIRCLE
148,2017-01-06 15:03:00,2400 TORREY PINES ROAD
149,2017-01-06 15:34:00,0 I-5 SB  
150,2017-01-06 16:35:00,2100 STATION VILLAGE WAY
151,2017-01-06 16:45:00,4700 KENSINGTON DRIVE
152,2017-01-06 17:00:00,7000 FRIARS ROAD
153,2017-01-06 17:20:00,600 BROADWAY  
154,2017-01-06 17:20:00,4500 MANITOU WAY
155,2017-01-06 18:13:00,1000 EUCLID AVENUE
156,2017-01-06 18:25:00,3900 WABASH AVENUE
157,2017-01-06 18:27:00,6000 CARMEL VALLEY ROAD
158,2017-01-06 19:19:00,3000 CONNER WAY
159,2017-01-06 20:41:00,4500 CLAIREMONT DRIVE
160,2017-01-06 20:52:00,7400 FRIARS ROAD
161,2017-01-06 21:22:00,4200 04TH AVENUE
162,2017-01-06 22:51:00,4500 MONTEZUMA ROAD
163,2017-01-06 23:30:00,18400 SAN PASQUAL VALLEY ROAD
164,2017-01-07 02:50:00,6400 EDMONTON AVENUE
165,2017-01-07 03:05:00,6600 CRABTREE STREET
166,2017-01-07 07:15:00,0 FRONT STREET
167,2017-01-07 07:48:00,3700 CAM DEL RIO  
168,2017-01-07 08:38:00,8000 EL PASEO GRANDE  
169,2017-01-07 11:20:00,3400 VIA TONGA  
170,2017-01-07 12:30:00,6600 KELLY STREET
171,2017-01-07 13:02:00,10300 CAM RUIZ  
172,2017-01-07 14:06:00,4400 MORAGA AVENUE
173,2017-01-07 14:30:00,3100 IRIS AVENUE
174,2017-01-07 16:30:00,500 ROBINSON AVENUE
175,2017-01-07 16:45:00,3500 ROSA LINDA STREET
176,2017-01-07 17:10:00,7300 CLAIREMONT MESA BOULEVARD
177,2017-01-07 17:47:00,0 GRANADA AVENUE
178,2017-01-07 18:00:00,4900 NEWPORT AVENUE
179,2017-01-07 19:06:00,4400 COLLEGE AVENUE
180,2017-01-07 19:20:00,600 24TH STREET
181,2017-01-07 20:07:00,4300 ALVARADO CANYON ROAD
182,2017-01-07 20:18:00,7800 STALMER STREET
183,2017-01-07 21:00:00,7300 CLAIREMONT MESA BOULEVARD
184,2017-01-07 21:30:00,700 F STREET
185,2017-01-07 22:00:00,1000 ALBERTA PLACE
186,2017-01-07 22:12:00,1600 WEST MISSION BAY DRIVE
187,2017-01-08 00:00:00,2100 BURROUGHS STREET
188,2017-01-08 00:01:00,3100 ADAMS AVENUE
189,2017-01-08 00:17:00,2700 GARNET AVENUE
190,2017-01-08 00:30:00,0 47TH STREET
191,2017-01-08 00:35:00,0 WIGHTMAN STREET
192,2017-01-08 00:57:00,2500 GENESEE AVENUE
193,2017-01-08 02:00:00,4800 ORANGE AVENUE
194,2017-01-08 02:10:00,1100 25TH STREET
195,2017-01-08 02:55:00,4900 70TH STREET
196,2017-01-08 03:00:00,3500 DEAVER LANE
197,2017-01-08 03:13:00,4200 EL CAJON BOULEVARD
198,2017-01-08 05:40:00,6000 PARKSIDE AVENUE
199,2017-01-08 10:10:00,6900 LA JOLLA BOULEVARD
200,2017-01-08 11:08:00,7200 JAMACHA ROAD
201,2017-01-08 11:34:00,4100 BALBOA AVENUE
202,2017-01-08 11:45:00,12300 BLACK MTN ROAD
203,2017-01-08 12:15:00,2900 MORENA BOULEVARD
204,2017-01-08 12:28:00,3600 NILE STREET
205,2017-01-08 13:06:00,12400 EL CAMINO REAL  
206,2017-01-08 13:25:00,3600 NILE STREET
207,2017-01-08 13:42:00,3600 SPORTS ARENA BOULEVARD
208,2017-01-08 14:55:00,2800 WOMBLE ROAD
209,2017-01-08 15:00:00,3900 VERMONT STREET
210,2017-01-08 15:00:00,1000 25TH STREET
211,2017-01-08 15:15:00,700 30TH STREET
212,2017-01-08 15:17:00,3200 LA JOLLA VILLAGE DRIVE
213,2017-01-08 16:30:00,1800 EBERS STREET
214,2017-01-08 17:55:00,500 SEA WORLD DRIVE
215,2017-01-08 18:04:00,1500 GUIZOT STREET
216,2017-01-08 18:15:00,3600 MURPHY CANYON ROAD
217,2017-01-08 18:25:00,4400 BOUNDARY STREET
218,2017-01-08 21:30:00,4300 UNIVERSITY AVENUE
219,2017-01-08 23:20:00,1000 BROADWAY  
220,2017-01-09 00:01:00,3200 HOLIDAY COURT
221,2017-01-09 02:10:00,2800 EL CAJON BOULEVARD
222,2017-01-09 03:17:00,200 WILLOW ROAD
223,2017-01-09 05:50:00,9900 POMERADO ROAD
224,2017-01-09 10:07:00,4600 CARMEL MTN ROAD
225,2017-01-09 10:25:00,4100 OHIO STREET
226,2017-01-09 10:30:00,3200 MOBLEY STREET
227,2017-01-09 11:00:00,300 MIDWAY STREET
228,2017-01-09 11:40:00,2300 PACIFIC HIGHWAY
229,2017-01-09 11:46:00,800 PICADOR BOULEVARD
230,2017-01-09 12:16:00,8800 COMPLEX DRIVE
231,2017-01-09 13:30:00,13800 CARMEL VALLEY ROAD
232,2017-01-09 14:00:00,2900 GRAPE STREET
233,2017-01-09 14:33:00,1200 BRIARWOOD ROAD
234,2017-01-09 16:15:00,0 MONROE AVENUE
235,2017-01-09 16:23:00,1600 PACIFIC HIGHWAY
236,2017-01-09 17:20:00,5900 RANCHO MISSION ROAD
237,2017-01-09 17:30:00,8400 CLAIREMONT  
238,2017-01-09 17:30:00,13400 PACIFIC HIGHLANDS PARKWAY
239,2017-01-09 18:30:00,2700 GARNET AVENUE
240,2017-01-09 22:00:00,4600 WEST POINT LOMA BOULEVARD
241,2017-01-09 23:20:00,1400 CACTUS RIDGE STREET
242,2017-01-10 00:01:00,2800 COMMERCIAL STREET
243,2017-01-10 00:01:00,6500 REFLECTION DRIVE
244,2017-01-10 01:16:00,3800 36TH STREET
245,2017-01-10 04:49:00,1600 IMPERIAL AVENUE
246,2017-01-10 05:14:00,4600 WEST POINT LOMA BOULEVARD
247,2017-01-10 07:43:00,2800 REDWOOD STREET
248,2017-01-10 11:47:00,16700 BERNARDO CENTER DRIVE
249,2017-01-10 11:47:00,5900 VILLAGE WAY
250,2017-01-10 13:06:00,2000 BRITANNIA BOULEVARD
251,2017-01-10 13:14:00,3200 OCEAN VIEW BOULEVARD
252,2017-01-10 13:18:00,2900 54TH STREET
253,2017-01-10 13:25:00,1600 EUCLID AVENUE
