,street_name,average_total_count,collisions,lat,lng
813,REO DR,493.9090909090909,13,32.671845,-117.061203
814,RESERVOIR DR,712.2,7,32.773285,-117.055712
816,RICHLAND ST,28205.0,1,32.791129,-117.163057
817,RICHMOND ST,393.61111111111114,10,32.751067,-117.151051
818,RIDGE MANOR AV,1040.0,1,32.794525,-117.058327
819,RIO SAN DIEGO DR,2152.0,35,32.775444,-117.141762
821,RIVERDALE ST,920.4,7,32.790425,-117.099609
822,RIVIERA DR,792.625,17,32.785828,-117.239708
823,ROBBINS ST,660.0,1,32.855377,-117.195923
824,ROBINSON AV,327.0,42,32.746947,-117.160418
828,ROLL DR,9924.0,8,32.554827,-116.937402
830,RONSON RD,434.66666666666674,4,32.829042,-117.153348
831,ROSECRANS ST,588.5507246376811,174,32.7438,-117.213018
832,ROSELLE ST,558.7407407407408,12,32.900766,-117.223906
833,ROSWELL ST,314.1666666666667,6,32.714287,-117.079788
836,RUEDA DR,4763.0,1,32.824516,-117.079399
837,RUFFIN CT,1018.0,2,32.828716,-117.125191
838,RUFFIN RD,606.7727272727273,42,32.830869,-117.126761
839,RUFFNER ST,723.1666666666665,8,32.832622,-117.159207
843,SAIPAN DR,390.83333333333326,2,32.680717,-117.055122
844,SALMON RIVER RD,455.71428571428567,4,32.94686,-117.122567
845,SAMPSON ST,328.3636363636364,7,32.698667,-117.13867
846,SAN ANDRES DR,1001.0,1,32.989113,-117.246941
847,SAN CARLOS DR,368.5,1,32.799656,-117.013208
848,SAN DIEGO AV,179.34782608695653,17,32.742525,-117.181361
849,SAN DIEGO MISSION RD,525.2142857142857,17,32.78373,-117.104012
851,SAN DIEGUITO RD,1204.2727272727273,8,32.976611,-117.210655
852,SAN JACINTO DR,1109.0,7,32.705698,-117.082679
853,SAN PASQUAL RD,4104.666666666667,12,33.09772,-117.021004
854,SAN PASQUAL ST,5740.0,3,32.702221,-117.103447
856,SAN VICENTE ST,941.0,4,32.71199,-117.026131
858,SANDROCK RD,1074.375,8,32.804909,-117.140106
859,SANTA BARBARA ST,433.0,3,32.734558,-117.245743
860,SANTA FE ST,243.6,3,32.816832,-117.222531
861,SANTA MONICA AV,5560.0,19,32.744507,-117.245132
862,SANTO RD,463.9,36,32.833775,-117.101044
864,SASSAFRAS ST,2841.6,1,32.735537,-117.178818
868,SCHLEY ST,1080.8,1,32.692947,-117.138657
870,SCOTT ST,202.85714285714286,11,32.723167,-117.228922
871,SCRANTON RD,1112.9285714285713,12,32.894393,-117.202038
872,SCRIPPS CREEK DR,275.09090909090907,1,32.929672,-117.090538
873,SCRIPPS HIGHLANDS DR,2389.5,2,39.78373,-100.445882
874,SCRIPPS LAKE DR,247.06666666666663,3,32.911369,-117.093292
881,SEA WORLD DR,2449.0,64,32.76163,-117.226621
884,SHAWLINE ST,1498.833333333333,36,32.832568,-117.163829
886,SHELTER ISLAND DR,105.375,3,32.721369,-117.228974
887,SHERMAN ST,1625.0,2,32.755978,-117.207108
888,SHOAL CREEK DR,903.1428571428572,4,32.969686,-117.081398
889,SIEMPRE VIVA RD,973.9629629629628,14,32.553201,-116.949515
890,SILVERADO ST,2775.0,4,32.84539,-117.272774
891,SILVERTON AV,2318.0,3,32.890862,-117.150307
892,SKYLINE DR,357.0,48,32.706268,-117.025436
893,SMYTHE AV,4185.75,7,32.56287,-117.049316
895,SOLEDAD AV,1462.0,1,32.846321,-117.262016
897,SOLEDAD MTN RD,706.0555555555555,23,32.82708,-117.241218
898,SOLEDAD RD,787.0,4,32.818256,-117.241386
901,SPARREN AV,1138.0,1,32.966082,-117.137726
905,SPRINGBROOK DR,545.75,6,32.942655,-117.084206
906,SPRINGHURST DR,956.25,7,32.940845,-117.074654
908,SPRUCE RUN DR,126.66666666666669,1,32.933426,-117.087885
909,SPRUCE ST,183.5,6,32.738354,-117.130371
910,STALMER ST,1406.2,6,32.807885,-117.155977
911,STARLING DR,1535.0,2,32.793245,-117.155537
912,STATE ST,57.80769230769231,11,32.71777,-117.166489
915,STONEY PEAK DR,1563.4,2,32.978977,-117.076698
916,STREAMVIEW DR,751.2,17,32.743162,-117.07945
917,STRESEMANN ST,437.22222222222223,3,32.847218,-117.222961
923,SUTTER ST,395.6,1,32.746197,-117.173149
924,SWIFT AV,1008.0,8,32.74501,-117.118735
925,SYCHAR RD,660.0,1,32.705498,-117.045311
926,TAIT ST,1016.25,10,32.780754,-117.172655
927,TALBOT ST,455.7272727272728,3,32.721416,-117.23896
928,TAYLOR ST,678.2272727272727,35,32.75721,-117.198227
930,TECOLOTE RD,3718.333333333334,8,32.771234,-117.204056
932,TENNYSON ST,622.3333333333334,1,32.737209,-117.227997
933,TEXAS ST,210.421052631579,50,32.768416,-117.139448
934,THERMAL AV,591.8,6,32.585528,-117.094434
935,THOMAS AV,615.0,16,32.796471,-117.241821
936,THORN ST,451.8571428571428,16,32.739254,-117.125304
939,TOCAYO AV,2493.6,8,32.564198,-117.082077
940,TONAWANDA DR,2487.4,3,32.66457,-117.059097
941,TOOMA ST,2457.0,1,32.682869,-117.037323
943,TORREY BLUFF DR,432.0,1,32.953171,-117.22686
944,TORREY MEADOWS DR,1448.0,3,32.963577,-117.151358
945,TORREY PINES RD,1105.0,95,32.844973,-117.269738
946,TORREY SANTA FE RD,1049.6666666666667,5,32.957779,-117.155537
949,TOWNSGATE DR,1156.75,3,32.95274,-117.230033
950,TRADE PL,2218.75,2,32.891661,-117.153382
951,TRADE ST,982.0,4,32.888687,-117.160767
952,TREENA ST,1189.3333333333333,1,32.910316,-117.113823
953,TRIANA ST,723.25,6,32.829437,-117.180458
955,TROJAN AV,587.25,23,32.754879,-117.083633
956,TULIP ST,605.0,2,32.726063,-117.106857
957,TURQUOISE ST,1176.5,19,32.810135,-117.252197
958,TWAIN AV,642.0,4,32.785018,-117.099758
959,TWIGGS ST,689.0,4,32.753803,-117.195419
960,TWIN TRAILS DR,1095.0,5,32.958721,-117.131943
961,TWINING AV,582.0,1,32.577377,-117.045418
962,ULRIC ST,900.9565217391304,21,32.776493,-117.16909
963,UNIVERSITY AV,83.85096153846153,593,32.748466,-117.155378
964,UPAS ST,311.46153846153845,18,32.74099,-117.137917
965,UTAH ST,136.17391304347825,9,32.743187,-117.132797
966,UTE DR,1076.0,3,32.80928,-117.199081
968,VALETA ST,640.2222222222222,8,32.748722,-117.231331
969,VALLEY CENTRE DR,2161.75,24,32.937875,-117.230346
970,VALLEY RD,1176.4,1,32.664153,-117.060611
971,VAN DYKE AV,849.5,14,32.740292,-117.103363
972,VANDEVER AV,759.2222222222223,9,32.787182,-117.087677
973,VENTURA PL,2807.5,14,32.772016,-117.252593
974,VERMONT ST,529.4285714285714,6,32.741717,-117.153374
975,VESTA ST,427.7,7,32.683403,-117.117416
986,VIA MALLORCA  ,3898.0,7,32.860043,-117.234161
990,VICKERS ST,2225.0,1,32.828128,-117.154167
991,VIEWRIDGE AV,1516.0,7,32.823864,-117.123161
993,VILLA LA JOLLA DR,846.5294117647059,54,32.87472,-117.233764
994,VILLAGE PL,1015.4,2,32.733066,-117.147781
996,VISTA GRANDE DR,2359.0,2,32.750957,-117.053909
997,VISTA HILL AV,1028.0,4,32.794906,-117.155905
999,VOLTAIRE ST,405.04166666666674,61,32.743637,-117.234765
1016,WABASH AV,1429.5,10,32.749177,-117.120803
1020,WANDERMERE DR,716.6,4,32.796341,-117.0513
1021,WARD RD,1526.666666666667,4,32.68343,-117.125445
1022,WARING RD,1341.25,38,32.791334,-117.082023
1023,WASHINGTON PL,1775.0,5,32.786167,-116.927356
1024,WASHINGTON ST,268.6712328767124,146,32.749845,-117.161602
1026,WESTMORE RD,209.0,4,32.917833,-117.143875
1027,WESTONHILL DR,134.3,16,32.904346,-117.135567
1030,WIGHTMAN ST,336.0,46,32.746803,-117.090652
1031,WILLOW CREEK RD,812.5,2,32.899399,-117.107201
1032,WILLOW RD,1071.0,6,32.547619,-117.042358
1033,WILLS CREEK RD,355.33333333333326,1,32.92746,-117.08757
1035,WINNETT ST,412.0,3,32.725189,-117.062538
1036,WINONA AV,314.1666666666667,33,32.794304,-117.08622
1037,WITHERBY ST,2201.6666666666665,4,32.745724,-117.192473
1038,WOODMAN ST,170.53846153846158,43,32.706587,-117.055076
1039,WOODROW AV,622.0,2,32.718182,-117.038834
1040,WORDEN ST,674.2857142857142,17,32.74596,-117.227242
1041,WORLD TRADE DR,606.9230769230769,18,32.987957,-117.071877
1044,YERBA SANTA DR,2290.0,1,32.771774,-117.08544
1046,ZION AV,2116.1666666666665,6,32.792931,-117.088966
1047,ZOO PL,1254.8,3,32.733535,-117.145429
