,street_name,average_total_count,collisions,lat,lng
244,CEDAR ST,305.3181818181818,20,32.721961,-117.161138
245,CELIA VISTA DR,530.625,2,32.750278,-117.055794
246,CENTRAL AV,1085.2,13,32.755105,-117.108218
248,CHANDLER DR,536.2857142857143,4,32.826897,-117.175087
251,CHARMANT DR,436.8,18,32.865057,-117.225623
252,CHATEAU DR,281.6666666666667,7,32.825729,-117.18454
254,CHELSEA AV,182.16666666666663,3,32.81538,-117.271606
255,CHELSEA ST,177.0,3,32.808657,-117.265067
256,CHEROKEE AV,1610.0,12,32.753273,-117.114731
257,CHESAPEAKE DR,253.77777777777774,9,32.837879,-117.129646
260,CHOLLAS RD,1015.2,5,32.736843,-117.085953
261,CHURCHWARD ST,609.25,9,32.704032,-117.078535
263,CLAIREMONT DR,457.45454545454544,87,32.828402,-117.206075
265,CLEVELAND AV,293.76470588235287,17,32.752069,-117.149269
266,CLIFFRIDGE AV,0.0,1,32.85894,-117.242774
267,CLOUDCREST DR,2464.0,1,33.008995,-117.085381
270,COLE ST,816.2,2,32.83942,-117.201401
271,COLIMA ST,337.5,2,32.811195,-117.266487
273,COLLEGE AV,377.93442622950823,239,32.785197,-117.062511
274,COLLEGE GROVE DR,386.92307692307685,27,32.73519,-117.065816
276,COLLURA ST,175.33333333333337,1,32.737732,-117.083969
278,COLUMBIA ST,186.2,21,32.71674,-117.167383
280,COMMERCIAL ST,1468.5,27,32.705235,-117.151614
283,COMSTOCK ST,454.0,12,32.795219,-117.175568
286,CONGRESS ST,592.6666666666666,9,32.752537,-117.196518
288,CONVOY CT,383.78571428571433,14,32.834718,-117.15788
289,CONVOY ST,167.38235294117646,121,32.83661,-117.152259
290,COPLEY DR,2362.6,11,32.839508,-117.162376
291,COPLEY PARK PL,2971.0,6,32.836069,-117.153131
292,CORDOVA ST,536.5,2,32.723467,-117.255776
293,CORONADO AV,547.6388888888888,78,32.5765,-117.099586
295,COTTONWOOD RD,1466.0,9,32.555862,-117.047974
296,COUNTRY CLUB DR,617.5,1,32.840294,-117.262222
300,CRANDALL DR,932.0,7,32.783886,-117.164772
301,CRAWFORD ST,1415.5,3,32.7898,-117.093874
302,CREEKVIEW DR,355.0,3,32.945102,-117.090596
303,CROWN POINT DR,132.83333333333334,14,32.784978,-117.234032
305,CUMBERLAND ST,761.3333333333335,8,32.676064,-117.06163
306,CURLEW ST,927.5,4,32.738674,-117.167633
308,CYPRESS CANYON RD,1052.0,3,32.9282,-117.076759
309,DAGGET ST,773.0,1,32.823593,-117.157272
310,DAIRY MART RD,587.7058823529413,18,32.565594,-117.062398
312,DAMON AV,2031.0,10,32.809681,-117.217682
313,DANA LANDING RD,1148.0,3,32.764835,-117.234835
314,DATE ST,1067.75,6,32.723047,-117.161256
316,DAWES ST,388.5,18,32.801487,-117.251137
317,DECORO ST,2032.666666666667,6,32.864139,-117.214231
318,DEEP DELL RD,387.125,7,32.697205,-117.032707
321,DEL MAR AV,363.22222222222223,3,32.735397,-117.24501
322,DEL MAR HEIGHTS RD,31768.0,71,32.948704,-117.251984
326,DEL MAR TRAILS RD,839.8,4,32.944743,-117.22482
329,DELTA ST,938.5,10,32.688744,-117.108101
330,DENNERY RD,2415.833333333333,26,32.58263,-117.03254
331,DENVER ST,271.45454545454544,5,32.79031,-117.203332
332,DERRICK DR,649.9090909090909,7,32.826099,-117.182587
333,DIAMOND ST,530.2857142857143,23,32.802166,-117.243568
334,DIANE AV,259.75,3,32.834543,-117.18708
335,DISTRIBUTION AV,744.75,3,32.882519,-117.163139
336,DIVISION ST,328.1764705882353,30,32.682693,-117.109766
337,DOLIVA DR,936.3333333333335,4,32.834316,-117.175616
338,DORIANA ST,548.0,6,32.685257,-117.04792
340,DOWDY DR,1709.8,3,32.890633,-117.146927
341,DUENDA RD,753.3333333333335,2,33.03545,-117.083099
343,DUSK DR,1688.5,5,32.677082,-117.048569
350,E ST,312.7142857142857,32,32.714704,-117.152511
351,EASTBOURNE RD,1303.25,1,32.982327,-117.071235
354,EBERS ST,766.9090909090909,23,32.739437,-117.249496
355,ECKSTROM AV,2444.333333333333,7,32.820208,-117.165091
360,ELM AV,757.0,16,32.580165,-117.087345
361,ELM ST,489.8,11,32.72406,-117.161148
362,ENGINEER RD,217.7692307692308,5,32.827157,-117.160547
363,ENRICO FERMI DR,2463.0,1,32.560785,-116.927819
364,ENTERPRISE ST,277.75,5,32.746473,-117.198177
366,ESSEX ST,768.5,3,32.74758,-117.146983
367,EUCLID AV,136.55172413793105,258,32.748447,-117.092293
370,EXECUTIVE DR,182.0,18,32.875076,-117.211826
372,F ST,13.444444444444445,95,32.713676,-117.149472
374,FAIRMOUNT AV,150.5897435897436,193,32.760744,-117.099465
376,FANUEL ST,197.05,19,32.795204,-117.245323
378,FASHION VALLEY RD,3841.333333333334,15,32.765182,-117.170455
380,FAY AV,347.5,12,32.840221,-117.27372
382,FELSPAR ST,1656.5,21,32.803547,-117.228317
384,FERN ST,533.25,10,32.723389,-117.129268
385,FIELD ST,1585.25,3,32.793442,-117.192386
386,FIESTA ISLAND RD,1502.333333333333,23,32.766619,-117.206595
387,FLANDERS DR,188.95454545454547,14,32.905998,-117.176987
389,FLORIDA DR,599.5384615384615,9,32.730877,-117.14315
390,FLORIDA ST,227.61111111111111,25,32.752163,-117.143761
393,FORT STOCKTON DR,125.625,2,32.751732,-117.180367
394,FORWARD ST,698.0,1,32.814022,-117.268387
396,FRAZEE RD,1149.5,8,32.772775,-117.157557
398,FRIARS RD,289.1923076923077,313,32.764082,-117.193195
400,FRONT ST,157.42857142857142,50,32.718819,-117.164726
402,FROST ST,1257.5,15,32.800247,-117.15313
403,G ST,55.755102040816325,96,32.712673,-117.143997
404,GALVIN AV,690.6,4,32.920504,-117.122426
405,GARNET AV,887.6166666666667,290,32.801827,-117.2316
406,GARRISON ST,729.5,4,32.727978,-117.232323
408,GATEWAY DR,240.57142857142856,5,32.725044,-117.108253
411,GENESEE AV,284.01834862385317,286,32.888282,-117.231966
412,GENTER ST,2924.5,3,32.836765,-117.274544
415,GESNER ST,1091.6666666666667,2,32.79174,-117.200073
416,GILMAN DR,2312.5,28,32.876712,-117.23289
417,GIRARD AV,271.375,29,32.846642,-117.274483
418,GLENROY ST,1132.0,3,32.790081,-117.084511
419,GOLD COAST DR,414.68421052631584,25,32.905449,-117.13044
420,GOLDFINCH ST,450.8571428571428,5,32.746819,-117.171349
421,GOLF COURSE DR,413.0,2,32.723459,-117.136631
422,GOLFCREST DR,186.05882352941174,15,32.80793,-117.040428
423,GOODE ST,1360.0,3,32.688015,-117.030937
424,GOVERNOR DR,112.89655172413794,36,32.85075,-117.21347
425,GRAMERCY DR,1136.6666666666667,7,32.802498,-117.134277
426,GRAND AV,630.8913043478261,144,33.144913,-117.197128
